Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
4/5/2017,506,512,502.1,511,510.65,1219278,6205.53
4/3/2017,516.45,516.5,505.65,507.05,507.1,780054,3962.47
3/31/2017,512.2,517.65,509.8,515.2,515.7,1511559,7774.16
3/30/2017,510.75,518.7,506.4,513.25,515.95,2679436,13785.2
3/29/2017,508.45,513.9,502.2,511,512.25,1008883,5128.77
3/28/2017,505,511,502.7,506.85,507.55,623110,3162.86
3/27/2017,508.35,512.45,502.8,504.45,504,981134,4958.13
3/24/2017,509.45,514,509.45,513.5,513.25,1511636,7747
3/23/2017,503,512,500.9,509.75,510,2798039,14229.75
3/22/2017,493.5,503.4,492,500.45,500.55,1991266,9956.09
3/21/2017,493.1,502,493.1,499,498.65,1115886,5566.53
3/20/2017,504,504.25,495.2,496.6,497.5,703478,3509.44
3/17/2017,504,507,498.95,503.5,504.25,1664216,8381.99
3/16/2017,497.3,502.9,495,501.9,500.55,1659167,8252.21
3/15/2017,505.7,505.9,492.4,494.8,494.8,1801427,8956.72
3/14/2017,490,504.6,489.4,501,501.35,1228734,6106.4
3/10/2017,485.1,488.95,483.6,486.5,487.05,546451,2658.2
3/9/2017,493,493,483.35,484.4,484.5,704895,3428.12
3/8/2017,494.65,496.2,489.3,494.5,495.1,574626,2830.29
3/7/2017,493.5,499.6,491.9,492.25,495.15,1650203,8167.56
3/6/2017,491.3,492.65,488.6,491,491.9,589369,2895.5
3/3/2017,490.8,495.65,487.2,493,493.85,740118,3643.85
3/2/2017,494,495.45,488.1,491,490.2,1016827,5001.24
3/1/2017,488,495.15,485.8,488.05,488.55,1017432,4980.13
2/28/2017,490,492.2,487.05,487.05,488.8,1012714,4957.26
2/27/2017,480,492.6,479.65,490.95,489.75,1411538,6906.12
2/23/2017,474.5,489.25,471.55,486,486.1,1630100,7884.57
2/22/2017,475.1,477.55,470.2,475,474.5,1042271,4942.18
2/21/2017,475,480.75,474.15,475.05,475.8,1280515,6107.23
2/20/2017,475,477.4,473.05,475.25,475.65,572727,2722.57
2/17/2017,482,483.65,474.05,474.2,475.35,789505,3767.57
2/16/2017,473,481.9,473,479.55,480.8,1062565,5090.36
2/15/2017,476.55,479.3,468.6,474.25,474.7,1057592,5006.79
2/14/2017,477.15,477.7,472.2,476,476.7,866074,4120.04
2/13/2017,468,476,467.25,475,474.45,848151,4010.27
2/10/2017,467.35,472.2,464.4,467.1,469.25,767522,3594.74
2/9/2017,458.3,466.85,457.35,466.5,466,988901,4573.06
2/8/2017,458.35,465.15,457.1,459.95,460.5,1313945,6064.14
2/7/2017,462,462,455.55,458.75,458.55,836207,3828.08
2/6/2017,458.65,462.8,454.5,460.4,461.1,1237410,5677.78
2/3/2017,456,459.6,454.1,458.35,457.75,877960,4008.2
2/2/2017,456,457.95,446.1,456,455.65,1532200,6929.8
2/1/2017,461,461,450,457.5,456,1640767,7458.59
1/31/2017,465.8,465.8,445.35,460.4,458,2742827,12481.26
1/30/2017,464,468,457.5,466,465.75,1847613,8516.8
1/27/2017,469.5,473.7,464.3,466,465.55,1926030,9004.16
1/25/2017,482,484,471.2,475,473.7,2044971,9719.17
1/24/2017,482.65,483,476,478,481.5,735219,3530.96
1/23/2017,472.55,484.3,471.75,480.6,479.75,1145339,5490.55
1/20/2017,476.55,479.8,475,478.5,477.9,764479,3648.98
1/19/2017,483.4,484.45,475.25,477.85,479,897240,4295.58
1/18/2017,482.4,487,480,480.6,482.95,536929,2596.5
1/17/2017,485.35,487.7,480.5,481,482.4,552927,2681.13
1/16/2017,482.9,487.7,479.8,483.6,484.75,605125,2931.99
1/13/2017,485.1,486.45,480.35,483.45,484.65,810523,3919.51
1/12/2017,476,484.25,474.25,483,483.2,701527,3379
1/11/2017,477.9,481.5,475,476,476.2,845068,4042.58
1/10/2017,472.6,478.85,471.25,477,476.5,661572,3151.28
1/9/2017,469,474.45,461.8,472,472,735422,3450.17
1/6/2017,478.5,480.1,469,469.6,469.95,1571573,7417.73
1/5/2017,477.1,485.9,477.1,480.55,480.4,978187,4715.9
1/4/2017,467,477.6,466.1,477.05,475.6,1134495,5366.42
1/3/2017,473,474.1,465.7,467.75,467,691301,3244.45
1/2/2017,475.05,478.4,470.5,471.1,471.55,461428,2189.63
12/30/2016,473.65,476.5,471.05,475.8,474.45,521181,2470.57
12/29/2016,469,477,464.05,470.85,472.35,2045230,9669.66
12/28/2016,466,475.45,465.05,469.2,469.35,1191369,5620.97
12/27/2016,455,466,454.1,464.3,465.2,553523,2552.62
12/26/2016,458.4,460.5,453.3,455.3,456.1,621902,2832.72
12/23/2016,464.65,465,455.4,459.05,458.75,672211,3083.6
12/22/2016,462.6,466.2,459.3,462.1,461.7,808616,3744.2
12/21/2016,468.5,470.5,461.2,462.5,462.45,1028742,4789
12/20/2016,466.9,469.9,461.65,468,466.65,812684,3778.92
12/19/2016,462.75,466.5,462.45,464.1,463.55,777104,3610.11
12/16/2016,466.3,470.15,459.95,462.85,463.5,1653535,7681.46
12/15/2016,460.6,471.9,460.6,466.95,466.1,1033371,4832.93
12/14/2016,464.15,468.35,463.25,466.15,466.3,1032733,4821.27
12/13/2016,456.5,464.05,455.05,464,463.75,1175447,5432.36
12/12/2016,455,455.9,451.5,455.35,453.55,718375,3258.16
12/9/2016,458.1,461.2,456.5,456.9,458.1,1018176,4673.65
12/8/2016,455,459.45,454.1,458.5,458.6,1049331,4804.25
12/7/2016,458.4,459.75,452,453.85,453.35,589671,2685.28
12/6/2016,456,462.85,455.9,457,457.8,629585,2896.73
12/5/2016,460,460,453.05,457.5,456.65,595522,2717.4
12/2/2016,470.5,471,458.5,458.5,460.4,757738,3519.33
12/1/2016,469.7,470.95,464.25,468.45,468.3,619149,2895.25
11/30/2016,465,470.95,462,464.85,465.25,2172696,10112.46
11/29/2016,461.4,466.5,460.5,464.3,465.15,625064,2905.99
11/28/2016,468,468,455.6,460,460.6,1150410,5293.77
11/25/2016,453,467,451,463.85,464.75,1279236,5926.05
11/24/2016,448.45,454.9,446.6,451.5,450.75,1382663,6240.94
11/23/2016,450.4,451.85,442.1,449,448.9,1266901,5655.12
11/22/2016,442,453,439.1,450.6,450.4,1104664,4927.57
11/21/2016,437.5,443.75,437.2,441.5,441.8,1670546,7388.38
11/18/2016,439.95,442,432.6,437.25,437.15,1080583,4720.15
11/17/2016,443.1,444.95,433.8,438.6,438.4,2076829,9093.64
11/16/2016,449,454.5,442.1,444,445.3,1655458,7435.83
11/15/2016,441.5,451.4,439.55,448,447.95,7069827,31647.5
11/11/2016,441.9,444.15,434.05,442.4,442.35,1966056,8656.74
11/10/2016,451.15,451.4,440.1,444.2,444.95,1559321,6951.05
11/9/2016,425,450.45,408.1,450.45,446.9,2167264,9572.54
11/8/2016,453,455.9,446.45,451.15,451.75,1296795,5842.56
11/7/2016,455,455.45,448.45,451,450,1337733,6023.55
11/4/2016,447.75,453.75,444.2,451.95,452.5,1227647,5524.35
11/3/2016,458,459.95,446.05,446.15,447.6,1510121,6817.56
11/2/2016,457.7,460.85,452.4,458,457.9,1410681,6453.79
11/1/2016,465.05,466.45,460,460.05,460.75,710011,3285.92
10/30/2016,465.05,466,463.2,464,464.4,111006,515.88
10/28/2016,461.7,466.4,454.1,462.3,462.1,2310047,10640
10/27/2016,471.3,473.65,460,460.55,461.7,1883031,8724.29
10/26/2016,480.75,480.75,470.55,471.35,471.55,1374261,6508.27
10/25/2016,484,484.6,479.2,482.4,481.4,3487360,16766.29
10/24/2016,490,490,477.6,484.1,483.95,3483647,16800.34
10/21/2016,499.85,501,493.3,499,499.2,1990718,9915.65
10/20/2016,497.9,501.15,492.2,495,495.4,1172322,5812.74
10/19/2016,485,496.9,483.75,494,495,2320995,11439.62
10/18/2016,473.1,484.1,473,484,482.75,1087752,5220.48
10/17/2016,475.05,475.65,471.6,472.1,472.15,1555949,7352.05
10/14/2016,477.8,481.2,474.3,475.05,475,1290787,6143.85
10/13/2016,477,479,474.4,477.25,478.25,1374255,6553.05
10/10/2016,477.2,479.75,476.1,477.3,477,663376,3166.6
10/7/2016,478,479.7,475.6,476.8,476.95,1043681,4979.84
10/6/2016,480,480.6,477.05,478,478,1386753,6628
10/5/2016,481.8,483.15,476.65,480.1,479.55,1413444,6765.07
10/4/2016,479,484.95,479,481.05,481.8,1330496,6422.95
10/3/2016,480,480.1,474.3,479,478.95,1000629,4783.19
9/30/2016,473,480,473,479.05,478.95,2103183,10046.39
9/29/2016,483.7,483.95,470,476,472.2,4940828,23522.6
9/28/2016,484.4,484.7,480.35,483,483.7,795943,3844.19
9/27/2016,480.35,485,479,484,484.2,1852179,8944.74
9/26/2016,480.4,481,476.1,480.4,479.3,2238608,10720.61
9/23/2016,483.25,483.7,479.05,480.5,480.2,2306416,11082.64
9/22/2016,485,485.2,479.6,482,481.75,1431194,6891.6
9/21/2016,482.95,484.5,480.25,483.7,483.85,1625366,7836.51
9/20/2016,482.5,482.5,478.1,481,481.05,1092998,5250.63
9/19/2016,480,481.95,476.2,481.5,479.95,2118736,10154.31
9/16/2016,481.3,482.3,478,479.95,479.4,2310804,11080.88
9/15/2016,479.8,479.8,474.25,479.7,478.45,1814622,8660.18
9/14/2016,484.5,484.95,475.85,478,478.05,1842448,8818.11
9/12/2016,474.8,483.4,472.15,482,480.4,1887831,9085.55
9/9/2016,477.6,483,474.3,480,480.65,1896208,9094.49
9/8/2016,477,479.65,470.2,474.3,473.95,2229724,10560.23
9/7/2016,487.8,489.75,480.05,481.35,481.75,2147450,10420.09
9/6/2016,485,485.4,480,483.2,482.9,1592073,7676.06
9/2/2016,484,485.55,479.3,484.5,483.6,1614602,7797.91
9/1/2016,489.7,489.7,481.5,484,483.95,1988414,9633.9
8/31/2016,491.8,496,486.25,487.45,491.65,2811028,13832.38
8/30/2016,478.9,490.45,478.15,488.25,489.45,4531046,21915.21
8/29/2016,491,491.55,477.1,478,478.8,5095626,24484.8
8/26/2016,504,506.05,488,490,490,3318483,16438.87
8/25/2016,521,521.25,502.25,503.3,504,4837138,24540.57
8/24/2016,520.1,522,517.05,518.55,519.65,1047588,5443.95
8/23/2016,515.25,520.5,515,519.05,519.6,1154254,5980.63
8/22/2016,518,520,514.5,514.75,515.5,1016786,5245.63
8/19/2016,526.9,529.8,519.05,519.9,520.1,1031960,5394.1
8/18/2016,529.95,530.05,523.2,523.45,525.1,909700,4779.94
8/17/2016,536.7,538.15,526.6,527.8,527.8,993836,5273.64
8/16/2016,543.75,546,534.8,536.7,536.5,926075,4987.5
8/12/2016,540.5,549.5,540.5,542.2,543.75,780651,4253.11
8/11/2016,540.9,547.55,540,541.4,543,499801,2713.36
8/10/2016,550,551,540.05,541.05,542.65,631833,3449.08
8/9/2016,547.7,552.5,546.3,550.4,551.35,876922,4821.97
8/8/2016,546.25,552.85,546.25,548.35,549,1025346,5635.7
8/5/2016,545.95,552.5,545.6,546.25,547.2,582867,3197.19
8/4/2016,547.8,552,545.35,547.15,548.2,1149770,6302.18
8/3/2016,548,555.15,546.8,547,547.95,1444485,7943.95
8/2/2016,558,559,548,551,549.6,1165562,6422.82
8/1/2016,545.05,561.75,545,557.95,557.7,2273195,12675.78
7/29/2016,552.3,553,542.65,545.85,545.05,1394086,7606.97
7/28/2016,547.3,556.75,544,554.25,553.8,1148900,6312.92
7/27/2016,546.1,552.75,542.55,550.3,549.15,1412829,7724.93
7/26/2016,542,550.75,540.95,546.6,546.1,1641039,8966.48
7/25/2016,537.7,543.7,535,542,542.85,732852,3962.83
7/22/2016,540,541,535,537.1,537.75,1374380,7392.76
7/21/2016,538.9,544.8,538.9,542.55,542,1444403,7822.82
7/20/2016,518,541.25,518,539.05,538.85,9520746,50590.46
7/19/2016,545,553.75,544,548.5,549.25,2789566,15328.77
7/18/2016,553.5,553.95,544.8,550.95,551.95,1647148,9046.3
7/15/2016,569.9,574.9,553.2,555.55,554.5,3427539,19163.3
7/14/2016,569.55,573.95,565.5,569.25,570.6,508871,2904.34
7/13/2016,573.9,577.8,569.8,572.9,573.95,1057197,6057.42
7/12/2016,566.5,571.9,565,571,570.8,656044,3733.63
7/11/2016,565,571,562.65,566.65,568.85,1032957,5875.03
7/8/2016,559.6,563.45,555.05,562,561.65,871571,4886.47
7/7/2016,567,567.95,557.55,560,559.6,1427629,7990.35
7/5/2016,561.65,569,556.05,563.45,564.95,905901,5099.49
7/4/2016,562,565,560,561.5,561.7,994691,5598.16
7/1/2016,559.75,565,557.05,558,558.9,538677,3023.12
6/30/2016,557.7,562.15,555.05,559.9,557.95,1459731,8147.5
6/29/2016,544.4,557,542,555.6,554.55,936348,5153.09
6/28/2016,544.95,546.75,541.25,541.75,542.4,992969,5401.29
6/27/2016,554.95,554.95,547.2,548,548,1065940,5868.86
6/24/2016,553.25,557.75,547.3,555.8,555.15,1351887,7478.69
6/23/2016,563,564.85,559.35,563,563.7,671251,3778.32
6/22/2016,562.05,564,559.5,563.3,563.15,1385923,7797.06
6/21/2016,557.7,562.85,553.4,561.05,561,989444,5533.27
6/20/2016,550,558.85,545.1,556,557.05,1389231,7713.7
6/17/2016,551.3,554,549,550.2,552.05,1615089,8919.8
6/16/2016,545.7,551,541.55,549.95,549.9,690373,3780.36
6/15/2016,545.8,547.75,542.3,547,547.05,424356,2314.46
6/14/2016,541.2,544,540,543.8,543.1,1050459,5690.82
6/13/2016,540.6,544.7,538.85,538.95,541.2,652571,3541.93
6/10/2016,544.5,547.15,543,545,545.35,1192347,6498.49
6/9/2016,547.1,547.1,542.2,546,544.8,1768142,9629.95
6/8/2016,541,545.05,540,545,544.6,1524222,8277.52
6/7/2016,540,541.15,537.2,540.15,539.85,1933849,10440.08
6/6/2016,541,541.9,533.4,536,535.1,1932039,10364.14
6/3/2016,541.5,543.5,539,541.3,540.8,1329106,7197.02
6/2/2016,556,558.95,534.45,540.5,540.4,2580517,14017.95
6/1/2016,545.6,555.8,545.6,554.6,554.5,1022436,5648.42
5/31/2016,551,552,543.35,545.5,545.45,2070089,11302.06
5/30/2016,547.2,552.5,544.45,551.5,550.15,1069996,5873.18
5/27/2016,543.15,551,543,545.35,545.4,1211378,6638.57
5/26/2016,546.1,548.8,543,547,544.95,1234981,6732.24
5/25/2016,540,546.95,539,545.1,546.1,1245202,6761.07
5/24/2016,539.85,540.4,535.55,537,537.65,991164,5329.1
5/23/2016,544,544.45,538.3,539.05,539.85,914192,4949.74
5/20/2016,543.4,547.95,542.5,543,543.4,882471,4808.62
5/19/2016,540,543.95,537.25,542.8,542.95,1253487,6795.61
5/18/2016,538.9,540.85,535,538.4,539.55,1428962,7669.64
5/17/2016,542,542.4,538.05,540.8,540.15,1276727,6904.87
5/16/2016,540.7,543.5,536.2,541.9,540.8,1167312,6302.32
5/13/2016,542.7,542.7,537,540,539.65,849097,4575.33
5/12/2016,538,543.25,535.7,542.5,542.3,999034,5399.68
5/11/2016,534.4,539.45,533.1,538.45,537.8,723648,3881.96
5/10/2016,538.75,542.1,534.45,539,538.65,977159,5263.6
5/9/2016,532.95,540.1,531.5,539.75,539,1004280,5389.17
5/6/2016,546.7,546.7,531.6,531.95,533.1,1288204,6901.25
5/5/2016,539,545.3,537,544.5,543.1,1092135,5903.65
5/4/2016,542.5,543.4,537,541,540,1311959,7081.49
5/3/2016,549,549.75,539.05,543.1,543.85,1726951,9409.31
5/2/2016,551,552.95,545.3,548.05,548.5,993077,5445.33
4/29/2016,555,556.8,548.35,552.5,554.35,1280679,7091.34
4/28/2016,559.5,564,551,553.5,553.1,2719843,15110.73
4/27/2016,552.25,561.25,552.25,559.6,560,898146,5020.72
4/26/2016,552.4,558,550.2,555.1,554.45,1810782,10028.69
4/25/2016,558.1,561.75,551.1,552.65,552.45,1715874,9524.17
4/22/2016,560,562.65,555.1,557.35,557.95,2154879,12027.98
4/21/2016,570,575.65,556.85,557.3,558.85,5808173,32764.39
4/20/2016,598,607,589.6,602.35,601.25,4693918,28107.75
4/18/2016,589,594.5,580.2,589.6,588.6,2457249,14412.62
4/13/2016,583,591.9,580.55,584.8,584.9,2001562,11686.99
4/12/2016,565.3,571.75,561.1,569.55,569.55,842604,4764.74
4/11/2016,549,568.6,542.2,567,565.75,1115536,6185.12
4/8/2016,548,551.4,546.5,550.4,549.55,940527,5162.89
4/7/2016,558,560,550.35,551,551.8,608719,3379.19
4/6/2016,560,562,552.75,558.1,558.2,1089149,6056.4
4/5/2016,566.25,566.6,557.25,557.6,559,824142,4620.67
4/4/2016,566.9,571.1,563.15,565,566.25,697336,3954.41
4/1/2016,567,572.5,557.2,561.5,562.15,1379141,7800.27
3/31/2016,561.85,570,557.2,567.05,564.25,3875911,21844.94
3/30/2016,552.7,563.65,551.25,563.4,561.95,1478150,8238.09
3/29/2016,557,559,548,550.85,553.15,1503438,8290.83
3/28/2016,558.55,563.6,549.3,557.7,556.15,1457996,8076.59
3/23/2016,550.1,559.2,545.8,557.9,555.75,1442509,7948.67
3/22/2016,556.5,556.6,551.1,552.3,552.85,1482267,8202.3
3/21/2016,554.4,562.4,541.8,559.4,556.45,1104727,6067.79
3/18/2016,540.55,553.8,540.5,552,551.25,2533610,13899.28
3/17/2016,541.6,543.95,535.6,538.65,539.2,1844902,9954.98
3/16/2016,535.1,540.5,530.05,539.6,538.45,1888434,10091.78
3/15/2016,541.5,543,528.4,535.1,533.2,1947163,10353.94
3/14/2016,543,543,536.5,539.5,540.85,1041114,5621.35
3/11/2016,535.8,539.8,535.7,539.5,539,1118101,6009.21
3/10/2016,539.05,539.9,532.7,536.15,535.85,1212160,6490.64
3/9/2016,542,542,533.25,537.8,538.15,1986973,10657.48
3/8/2016,537.7,543.5,534.2,541.55,541.45,1551999,8343.87
3/4/2016,544.9,545.65,535.1,537,536.95,1600026,8601.31
3/3/2016,540.15,548.45,535.25,543.7,542.7,1220839,6619.35
3/2/2016,540,541.85,530.15,541,539.55,1790337,9568.47
3/1/2016,525,539,523.45,537.5,535.45,1725272,9241.29
2/29/2016,529,531.85,507.9,521,520.25,2079616,10816.86
2/26/2016,540.2,541.9,526.7,530,530.5,984483,5232.39
2/25/2016,534.4,538.75,522.1,538,533.85,959822,5069.78
